,target_value,predict_value
0,-1.8265523,-0.8952586
1,-1.09691,-0.67127943
2,-0.47251514,-0.50140303
3,-2.20412,-2.045395
4,-0.79588,-0.83828473
5,-0.35030103,-0.790394
6,-1.09691,-0.070239305
7,-0.79934055,-1.1557984
8,-2.10721,-1.9328665
9,-1.80618,-1.7939985
10,-0.0,-0.4468199
11,-0.4393327,-0.9270845
12,-1.4771212,-1.3071978
13,0.04575749,-0.09008986
14,-1.2787536,-1.1474752
15,0.20411998,-0.15142214
16,-0.39794,-0.40585795
17,-2.215054,-0.6258059
18,0.141016,-0.50690377
19,-1.1557233,-1.1533768
20,-0.90309,-0.50630987
21,-2.10721,-1.49863
22,-0.07918125,-0.13456582
23,-0.90309,-0.86975014
24,-0.30103,-0.71832305
25,-0.9524462,-1.1245412
26,-2.1056266,-1.7740269
27,-1.39794,-1.3442755
28,-0.5632618,-0.9712654
29,-0.60206,-0.6648603
30,-0.5468897,-0.31986296
31,-2.0,-1.8615088
32,-0.7607951,-1.2683797
33,-1.5234213,-1.3755907
34,-1.8647878,-2.0324264
35,-1.1753669,-1.5163052
36,-2.10721,-2.12186
37,-3.1925983,-2.145957
38,-1.3625436,-1.7549913
39,-0.49247885,-0.010421149
40,-1.3053514,-1.7402415
41,-0.9071603,-1.5061969
42,-0.0,-1.7132204
43,-0.30103,0.020929627
44,-1.7664298,-0.722916
45,-2.253458,-2.0126853
46,-2.1609023,-1.5984623
47,-2.1760912,-1.7724599
48,-1.9370161,-1.7110538
49,-0.39794,-0.45861095
50,-0.242452,-0.1554539
51,-3.39962,-3.0586843
52,-0.7781513,-1.7658116
53,-2.10721,-0.6054587
54,-1.60206,-1.4710667
55,-2.10721,-2.0446332
56,-1.6181527,-1.873058
57,-1.0,-1.3558254
58,-1.8902215,-1.9259448
59,-2.0,-1.0964656
60,-0.36921585,-0.4456418
61,-1.9099445,-1.9785177
62,-2.131413,-1.9552346
63,-1.7781513,-1.7201875
64,-1.7542925,-0.8681608
65,-0.97498244,-0.61069304
66,-1.2730013,-1.25259
67,-1.7123129,-1.4027088
68,-0.79588,-1.3250581
69,-1.09691,-1.3114609
70,-1.3714654,-1.3777748
71,0.096910015,-0.1899763
72,-1.5740312,-0.58582896
73,-1.7597321,-1.8646479
74,-2.39794,-2.2941492
75,-2.3073637,-2.3321972
76,-2.0,-1.3916318
77,-1.0251757,-0.41147697
78,-1.39794,-1.642054
79,-0.30204657,-1.6570823
80,-0.032510787,0.40676853
81,-2.69897,-1.8103788
82,-2.4771214,-2.8044593
83,-1.6196318,-1.9862449
84,-1.09691,-1.4080392
85,-1.4720311,-1.666846
86,-1.5652573,-0.8432823
87,-0.845098,-0.48801538
88,-2.5400636,-2.1311944
89,-0.57264704,-0.6313287
90,-0.48429984,-0.51747245
91,-1.9633458,-0.8596974
92,-1.355325,-1.6053059
93,-3.162723,-2.1269946
94,-1.493289,-1.1354424
95,-1.50515,-1.6617264
96,-0.38249874,-0.65489495
97,-1.4383053,-0.85548294
98,-2.0,-2.036661
99,0.582732,-0.86346406
100,-0.20327781,-1.6239156
101,-1.90309,-2.3116376
102,-1.8362395,-1.3445793
103,-2.197973,-1.9707026
104,-0.43778354,0.07133712
105,-0.69897,-1.7953018
106,-0.39794,-0.41649002
107,-1.30103,-2.013355
108,-0.67260045,-0.8854887
109,0.09151498,-0.28729677
110,-2.0676417,-2.0451183
111,-0.44195685,-0.5658022
112,-0.25050455,-1.4850502
113,-0.69897,-0.5760524
114,-1.5613712,-1.6872526
115,-1.6827753,-1.8651284
116,-1.0681858,-1.2775438
117,-2.1400976,-2.0530114
118,-1.09691,-1.32858
119,2.0271766,2.2454057
120,-0.97177464,-0.43750757
121,-2.20412,-2.1867356
122,-2.1760912,-1.983762
123,-0.68243647,-0.69363666
124,-1.69897,-1.9370202
125,-1.116758,-0.7827842
126,-0.8214391,-0.22376828
127,-0.1766965,-1.759968
128,-1.4771212,-1.2589198
129,0.15490197,-0.3048873
130,-2.1996737,-1.2084079
131,-2.021574,-2.2242427
132,-0.07918125,-0.41055113
133,-3.0511525,-3.1472144
134,-1.60206,-1.5462053
135,-1.1476763,-0.8994995
136,-1.40824,-2.083066
137,-1.6792462,-0.6995593
138,-0.3860856,-0.81601346
139,-1.3302716,-1.152835
140,-0.6532125,-0.8307897
141,-1.698893,-1.7600752
142,-0.9882269,-1.0992527
143,-0.14612803,-0.12249641
144,-1.4771212,-1.4410063
145,-0.60206,-0.14681414
146,-0.26108834,-0.86215574
147,-0.60206,-0.99781746
148,-1.2850567,-1.9257244
149,-1.5646118,-0.6702088
150,0.026872147,0.1483325
151,0.6388998,-0.06047717
152,-0.41497335,-0.14992365
153,-0.7781513,-0.73305935
154,-3.3619971,-2.3535903
155,-0.9248061,-0.39576775
156,-1.7487545,-1.8310349
157,-0.34689745,-0.46062934
158,-1.60206,-2.26137
159,-1.9060841,-2.040673
160,-0.80537456,-1.7114699
161,0.640213,0.4439545
162,-1.69897,-1.6144878
163,-1.8612628,-1.483713
164,-1.0791812,-1.1932293
165,-2.0,-1.7238548
166,-0.9657254,-0.9381564
167,-0.60206,-0.99099904
168,-1.3984982,-1.1207697
169,-1.299819,-2.06901
170,-0.47712126,-0.17390281
171,-0.6802316,-0.39413115
172,-2.10721,-1.9775143
173,-2.133085,-1.7481459
174,-0.70667154,-1.272
175,-2.0,-1.5085398
176,1.9454821,2.246119
177,-1.7846173,-1.1607898
178,-1.476661,0.43590078
179,0.08820341,0.47069693
180,-1.7781513,-2.226685
181,0.15490197,0.18450521
182,-1.30103,-0.8036083
183,-0.39794,-0.16346814
184,-0.56160367,-0.1506313
185,-0.47712126,-0.9265427
186,-1.7501225,-0.54431915
187,-2.70927,-0.8754226
188,-0.4178147,-0.7755861
189,-1.09691,-1.9055802
190,-1.1760913,-0.7882755
191,-1.725299,-1.5395209
192,-1.725299,-1.4152616
193,-1.7123129,-0.74391687
194,-1.50515,-2.1570003
195,-0.60206,-0.57582605
196,-0.6686417,-0.40555334
197,-1.4559737,-1.2612411
198,-2.1556458,-1.5400693
199,-1.60206,-1.5458441
200,-0.9309633,-0.93289447
201,-1.7181661,-1.6519636
202,-0.79534894,-2.6560495
203,-1.60206,-1.6050571
204,-1.4121084,-1.22361
205,-0.4941546,-0.872967
206,-2.4095104,-2.2291048
207,-2.283301,-1.1264759
208,-3.149219,-2.3146403
209,-1.033623,-1.1538334
210,-0.39794,-1.3648865
211,-2.6180482,-2.3540254
212,-2.10721,-1.8588756
213,-1.8343952,-1.9446526
214,-1.60206,-1.5754621
215,-0.5682017,-0.78932226
216,-1.80618,-1.3635384
217,-1.8254527,-1.6914015
218,-0.13302393,0.46434608
219,-1.3802112,-1.5164086
220,-0.8922712,-0.8916173
221,-0.0,0.07991934
222,-0.41589054,-0.46524832
223,-1.0408591,-1.1371337
224,-0.8037275,-0.91862816
225,-1.0,-0.9924657
226,-0.90309,-0.4654995
227,-2.10721,-1.6555798
228,-1.1760913,-1.1788863
229,-1.3563744,-1.5056322
230,-1.80618,-1.7812902
231,-3.8820324,-3.034818
232,-0.19287117,-0.980059
233,-0.90309,-0.97926813
234,-1.8120064,-2.0012538
235,-1.822485,-1.3071327
236,-0.07918125,-0.48003298
237,-0.66900676,-0.50809884
238,-0.0,-0.75359726
239,-0.69700575,-0.6626148
240,-1.6569898,-1.9063102
241,-0.40912816,-1.1807675
242,-1.7936661,-1.7281193
243,-0.2498086,-0.4974831
244,-0.37238592,-0.44067645
245,-0.27415785,-0.53642976
246,-1.60206,-1.589389
247,-0.6242651,-0.2721929
248,-0.8631354,-1.3435557
249,-0.97220284,-0.26218686
250,-1.7652407,-1.9370673
251,-1.6915718,-1.9660299
252,-1.2139102,-0.16201189
253,-1.790142,-1.6879797
254,-1.4313638,-0.5171175
255,-3.0334237,-2.8077857
256,-0.5222737,-0.89493996
257,-2.0086002,-1.4324706
258,-2.228604,-2.0355885
259,-2.2421458,-1.605733
260,-2.0,-2.183798
261,-2.69897,-2.7169144
262,-1.30103,-1.2284212
263,-1.4470066,-1.2759606
