regressor,encoding,mean_mse,std_mse,mean_pcc,std_pcc,mean_ktc,std_ktc
DT,CTDC,0.686126270279596,0.0661301105253184,0.527069382196959,0.0285737292177881,0.349674497037014,0.0212759922398919
DT,CTDD,0.675630821806975,0.0273285627202681,0.539014328094981,0.0272797431208567,0.35481533562597,0.0253745969074105
DT,CTDT,0.785583660560903,0.0365982340366944,0.467392995938042,0.0479777532425243,0.313765636828567,0.0351371016724208
DT,QSOrder,0.688782447891923,0.0478726741790597,0.542199028514225,0.0340409335291473,0.350069822335786,0.0256986720586538
KNN,CTDC,0.454395241396133,0.0346217668961756,0.637144405680127,0.0130673424413097,0.406589840113484,0.0145215355093487
KNN,CTDD,0.470997319479107,0.0369302010964638,0.622486609971557,0.0155034501355455,0.398956889807835,0.0102990375078011
KNN,CTDT,0.443177514177379,0.0397427105966862,0.647295339823478,0.0221020471528661,0.411613675578106,0.0336370426319675
KNN,QSOrder,0.418579107896782,0.0499626922153466,0.669804046597629,0.0208411386870603,0.440871894419849,0.0228130040432616
RF,CTDC,0.369583293311482,0.0380535452231517,0.707968460275419,0.0198618742564439,0.46891328372366,0.0246362511616788
RF,CTDD,0.343858400820927,0.0237356753181614,0.735217707332802,0.00761090529806082,0.513121121339039,0.0139187730770589
RF,CTDT,0.386250657168199,0.0329013025423699,0.696807790921002,0.00857665723708806,0.472718374267669,0.0232967158748821
RF,QSOrder,0.329574510465542,0.0242532755882341,0.746711227245126,0.0122212252285323,0.519153702953742,0.0160966164710821
SVM,CTDC,0.470974789277604,0.0343873003210665,0.598802959004347,0.0328106952709495,0.374113240773129,0.0219834823896649
SVM,CTDD,0.434808799477714,0.0211806451710523,0.640732382045826,0.0236862770707466,0.427895543327943,0.0202165323734007
SVM,CTDT,0.41321372646312,0.0287594425973282,0.662286436595643,0.0116971157756839,0.431562472098676,0.00975352322669503
SVM,QSOrder,0.391237825493898,0.0205293828058846,0.683125960035561,0.0284732120763863,0.462030351283298,0.0198294975867337
proposed_model,embedding layer,0.266353946924209,0.0140654568952571,0.795461277317608,0.0121196752286251,0.57966804520636,0.0103790633533649
