,target_value,predict_value
0,-1.1702617,-1.3878788
1,-2.0896533,-1.7713901
2,0.52287877,0.33117667
3,-1.0413927,-1.7112448
4,-1.50515,-1.7086535
5,-0.8454492,-1.517651
6,-1.30103,-1.1547834
7,-1.1804587,-1.076101
8,-1.0791812,-0.34387878
9,-1.9178058,-1.3466108
10,-1.237936,-0.9389797
11,-1.3953264,-2.019709
12,-0.9938005,-1.2374575
13,-1.230449,-1.151568
14,-2.016792,-1.8514136
15,0.5737212,0.51135
16,-0.37502044,-0.3776564
17,0.59819156,-0.6262289
18,-1.0038193,-1.3080261
19,-0.90309,-1.1054593
20,1.2293373,0.079483375
21,-0.91445124,-1.6936574
22,-1.447158,-1.2226855
23,-0.30169538,-0.95433366
24,-2.6410313,-2.060128
25,-2.1383028,-0.9567427
26,-2.70927,-1.9184128
27,-1.4921417,-1.2422448
28,-1.20412,0.18328965
29,-0.20167752,-1.7752832
30,-1.5058953,-0.6691494
31,-1.30103,-1.4914805
32,-0.60206,-0.80659544
33,-1.39794,-1.5121573
34,-1.80618,-1.6923059
35,-2.10721,-2.4475555
36,-1.7745169,-1.5813593
37,-0.6532125,-0.4855025
38,-1.0,-1.1266028
39,-1.2980504,-1.0146301
40,-0.7403865,-0.1371852
41,-2.0861034,-1.8184234
42,-2.4353664,-1.6358337
43,-2.0,-1.153922
44,-0.13139418,-0.1581957
45,-0.11394335,-1.3810583
46,-1.1822171,-1.1121926
47,0.9886085,0.88659316
48,-2.69897,-1.4751313
49,-0.26717174,-0.7512733
50,-1.523168,-1.6851128
51,0.60206,0.5458616
52,-1.1383027,-0.90980023
53,-0.49554434,-0.36572272
54,-2.69897,-1.2083849
55,-1.90309,-1.2956442
56,-1.9557464,-1.3504378
57,-0.79657435,-1.616185
58,-1.69897,-1.3446974
59,-0.113809235,-0.65392184
60,1.2507474,0.86135
61,-0.11394335,-0.30595636
62,-3.1185954,-2.535359
63,-1.4744576,-1.721217
64,-1.2137305,-1.5546393
65,-0.19312459,-0.29189348
66,-1.3810722,-1.0528349
67,-1.4771212,-2.0633347
68,-1.8232862,-1.3787073
69,-0.69897,-0.6702038
70,-1.60206,-1.012048
71,-1.2152297,-0.38698226
72,-0.9917529,-0.5270885
73,-0.7781513,-0.05628498
74,-0.53147894,-0.7648886
75,-0.7781513,-0.85807675
76,-1.8360162,-1.7283665
77,-0.23044892,-0.011531942
78,-0.90309,-1.4189013
79,-0.90309,-1.5092198
80,-1.5613712,-1.5465909
81,-1.168792,-0.74270195
82,-2.0,-1.9567742
83,-1.5367702,-1.59353
84,-1.3294656,-1.1907117
85,-2.10721,-2.1992416
86,-1.39794,-0.60403395
87,-0.69897,-0.9919947
88,-0.90309,-0.9960793
89,0.52287877,0.8867343
90,-0.75012255,-0.9444752
91,-1.80618,-1.6764096
92,-1.664642,-1.2761396
93,-1.7593442,-1.74716
94,-0.60206,-0.4553869
95,-0.21237119,-0.9494934
96,-0.6532125,-0.93916476
97,-1.6155014,-1.3373141
98,-0.6253098,-0.9941741
99,-0.5508386,-0.5496875
100,-0.24303804,-0.7719645
101,0.124938734,-0.24873975
102,-1.217484,-1.2056224
103,-3.09691,-2.923357
104,-1.8290867,-1.1621011
105,0.52287877,0.88664937
106,0.23160858,-0.15190867
107,-1.3293946,-1.1818005
108,-1.09691,-0.92380595
109,-0.053078443,-0.78555
110,-1.0213467,-0.8191267
111,-1.2567472,-1.6295487
112,-0.95083034,-1.1541307
113,-0.90309,-0.89149934
114,-2.612784,-2.6151047
115,-1.2576786,-1.6907216
116,0.9352302,0.88715833
117,-0.37774757,-0.17090301
118,-2.30103,-1.912763
119,-2.0795295,-1.8049667
120,-2.906657,-2.0123656
121,-1.69897,-1.0250063
122,-2.084863,-1.8210427
123,-1.3604672,-1.0645986
124,-0.6532125,-1.2524627
125,-0.8750613,-1.2836936
126,-2.0,-1.5742184
127,-1.6882621,-1.1990263
128,-1.3879187,-1.5945686
129,-1.3395339,-1.6666161
130,-0.55885756,-0.51548815
131,-2.0,-1.3277858
132,-0.28190196,-2.2353778
133,-2.10721,-2.7052445
134,-0.0,0.11299677
135,-1.80618,-1.6119765
136,-0.60206,-0.4574927
